Token:being<delim> Count:1362<delim> Probability:0.50214225
Token:workin<delim> Count:1<delim> Probability:0.46282974
Token:neighbors<delim> Count:1<delim> Probability:0.45070422
Token:herring<delim> Count:1<delim> Probability:0.33333334
Token:things<delim> Count:1<delim> Probability:0.15381391
Token:boosting<delim> Count:1<delim> Probability:0.33333334
Token:solutions<delim> Count:1<delim> Probability:0.051282052
Token:weight<delim> Count:1<delim> Probability:0.12552302
Token:airports<delim> Count:1<delim> Probability:0.54545456
Token:ranch<delim> Count:1<delim> Probability:0.13235295
Token:know<delim> Count:1<delim> Probability:0.2077721
Token:statuses<delim> Count:1<delim> Probability:0.29411766
Token:temperatmental<delim> Count:1<delim> Probability:1.0
Token:prank<delim> Count:1<delim> Probability:0.20689656
Token:naps<delim> Count:1<delim> Probability:0.12903225
Token:coworkers<delim> Count:1<delim> Probability:0.5263158
Token:inventory<delim> Count:1<delim> Probability:0.14285715
Token:throwin<delim> Count:1<delim> Probability:0.24475524
Token:anything<delim> Count:1<delim> Probability:0.25539568
Token:schoolwork<delim> Count:1<delim> Probability:0.42857143
Token:pizza<delim> Count:1<delim> Probability:0.1097561
Token:honey<delim> Count:1<delim> Probability:0.09803922
Token:lier<delim> Count:1<delim> Probability:0.13488372
Token:replying<delim> Count:1<delim> Probability:0.51428574
Token:evacuating<delim> Count:1<delim> Probability:0.5
Token:news<delim> Count:1<delim> Probability:0.12192724
Token:pain<delim> Count:1<delim> Probability:0.1621271
Token:election<delim> Count:1<delim> Probability:0.14049587
Token:locking<delim> Count:1<delim> Probability:0.16666667
Token:technology<delim> Count:1<delim> Probability:0.1588785
Token:editing<delim> Count:1<delim> Probability:0.29032257
Token:money<delim> Count:1<delim> Probability:0.136
Token:finance<delim> Count:1<delim> Probability:0.18367347
Token:studyhall<delim> Count:1<delim> Probability:0.33333334
Token:pets<delim> Count:1<delim> Probability:0.14285715
Token:guns<delim> Count:1<delim> Probability:0.0927835
Token:loosing<delim> Count:1<delim> Probability:0.13636364
Token:celebrities<delim> Count:1<delim> Probability:0.08695652
Token:competition<delim> Count:1<delim> Probability:0.18181819
Token:consistency<delim> Count:1<delim> Probability:0.54545456
Token:merchandising<delim> Count:1<delim> Probability:0.5
Token:roommates<delim> Count:1<delim> Probability:0.4047619
Token:bumping<delim> Count:1<delim> Probability:0.27272728
Token:problem<delim> Count:1<delim> Probability:0.23662551
Token:bullshitters<delim> Count:1<delim> Probability:1.0
Token:review<delim> Count:1<delim> Probability:0.07166124
Token:games<delim> Count:1<delim> Probability:0.15078236
Token:weather<delim> Count:1<delim> Probability:0.32011747
Token:laws<delim> Count:1<delim> Probability:0.14423077
Token:linking<delim> Count:1<delim> Probability:0.11111111
Token:dunnes<delim> Count:1<delim> Probability:0.5
Token:busting<delim> Count:1<delim> Probability:0.5
Token:breakfast<delim> Count:1<delim> Probability:0.20786516
Token:asshole<delim> Count:1<delim> Probability:0.3529412
Token:cops<delim> Count:1<delim> Probability:0.24358974
Token:racing<delim> Count:1<delim> Probability:0.074074075
Token:usair<delim> Count:1<delim> Probability:1.0
Token:birds<delim> Count:1<delim> Probability:0.14444445
Token:presentations<delim> Count:1<delim> Probability:0.33333334
Token:substitute<delim> Count:1<delim> Probability:0.23529412
Token:vday<delim> Count:1<delim> Probability:0.6666667
Token:fundraising<delim> Count:1<delim> Probability:0.33333334
Token:sewing<delim> Count:1<delim> Probability:0.33333334
Token:dm's<delim> Count:1<delim> Probability:0.27272728
Token:power<delim> Count:1<delim> Probability:0.17843138
Token:hockey<delim> Count:1<delim> Probability:0.17073171
Token:tornado<delim> Count:1<delim> Probability:0.84210527
Token:photoshoots<delim> Count:1<delim> Probability:0.5
Token:drying<delim> Count:1<delim> Probability:0.25
Token:cutting<delim> Count:1<delim> Probability:0.13235295
Token:sliding<delim> Count:1<delim> Probability:0.25
Token:hospitals<delim> Count:1<delim> Probability:0.29411766
Token:dad<delim> Count:1<delim> Probability:0.25903615
Token:adverts<delim> Count:1<delim> Probability:0.29411766
Token:growing<delim> Count:1<delim> Probability:0.0661157
Token:answering<delim> Count:1<delim> Probability:0.41304347
Token:pharmacology<delim> Count:1<delim> Probability:0.75
Token:should<delim> Count:1<delim> Probability:0.19942787
Token:justice<delim> Count:1<delim> Probability:0.093023255
Token:affair<delim> Count:1<delim> Probability:0.09677419
Token:climbing<delim> Count:1<delim> Probability:0.125
Token:housework<delim> Count:1<delim> Probability:0.5
Token:day<delim> Count:1<delim> Probability:0.3034688
Token:stressing<delim> Count:1<delim> Probability:0.10526316
Token:skool<delim> Count:1<delim> Probability:0.04
Token:tendon<delim> Count:1<delim> Probability:0.4
Token:nutrition<delim> Count:1<delim> Probability:0.23076923
Token:transfer<delim> Count:1<delim> Probability:0.47619048
Token:note<delim> Count:1<delim> Probability:0.23785166
Token:pretending<delim> Count:1<delim> Probability:0.11111111
Token:confessions<delim> Count:1<delim> Probability:0.05882353
Token:conversations<delim> Count:1<delim> Probability:0.3814433
Token:takin<delim> Count:1<delim> Probability:0.2530675
Token:paper<delim> Count:1<delim> Probability:0.25342464
Token:hospital<delim> Count:1<delim> Probability:0.2793296
Token:nose<delim> Count:1<delim> Probability:0.2804878
Token:orientation<delim> Count:1<delim> Probability:0.52
Token:stories<delim> Count:1<delim> Probability:0.13114753
Token:charging<delim> Count:1<delim> Probability:0.20588236
Token:match<delim> Count:1<delim> Probability:0.16949153
Token:prawn<delim> Count:1<delim> Probability:0.5
Token:clothes<delim> Count:1<delim> Probability:0.16883117
Token:attention<delim> Count:1<delim> Probability:0.16487455
Token:cigs<delim> Count:1<delim> Probability:0.44444445
Token:flights<delim> Count:1<delim> Probability:0.24324325
Token:chatting<delim> Count:1<delim> Probability:0.1724138
Token:apartment<delim> Count:1<delim> Probability:0.28846154
Token:rednecks<delim> Count:1<delim> Probability:0.33333334
Token:customer<delim> Count:1<delim> Probability:0.37037036
